,gene_id,gene_type,logFC,AveExpr,t,P.Value,adj.P.Val
ANP32C,ENSG00000248546.3,processed_pseudogene,0.449817926522256,0.0739725408539951,,,
RNU6-668P,ENSG00000201050.1,snRNA,0.380944080200912,0.169836608364135,,,
